clase_hog,descripcion,,educa_jefe,descripcion,,est_socio,descripcion,,sexo,descripcion,,tam_loc,descripcion,,,,,,ubica_geo,cve_ent,nom_ent,cve_mun,nom_mun
,,,,,,,,,,,,,,,,,,,50190000,5,Coahuila de Zaragoza,19,Torre�ón
,,,,,,,,,,,,,,,,,,,50200000,5,Colima,20,Armer�ía
,,,,,,,,,,,,,,,,,,,50210000,5,Colima,21,Colima
,,,,,,,,,,,,,,,,,,,50220000,5,Colima,22,Comala
,,,,,,,,,,,,,,,,,,,50230000,5,Colima,23,Coquimatl�án
,,,,,,,,,,,,,,,,,,,50240000,5,Colima,24,Cuauht�émoc
,,,,,,,,,,,,,,,,,,,50250000,5,Colima,25,Ixtlahuac�án
,,,,,,,,,,,,,,,,,,,50260000,5,Colima,26,Manzanillo
,,,,,,,,,,,,,,,,,,,50270000,5,Colima,27,Minatitl�án
,,,,,,,,,,,,,,,,,,,50280000,5,Colima,28,Tecom�án
,,,,,,,,,,,,,,,,,,,50300000,5,Colima,30,Villa de �Álvarez
,,,,,,,,,,,,,,,,,,,50310000,5,Chiapas,31,Acala
,,,,,,,,,,,,,,,,,,,50320000,5,Chiapas,32,Altamirano
,,,,,,,,,,,,,,,,,,,50330000,5,Chiapas,33,Arriaga
,,,,,,,,,,,,,,,,,,,50350000,5,Chiapas,35,Bochil
,,,,,,,,,,,,,,,,,,,50360000,5,Chiapas,36,Comit�án de Dom�ínguez
,,,,,,,,,,,,,,,,,,,50370000,5,Chiapas,37,Chamula
,,,,,,,,,,,,,,,,,,,50380000,5,Chiapas,38,Chiapa de Corzo
,,,,,,,,,,,,,,,,,,,60010000,6,Chiapas,1,Frontera Comalapa
,,,,,,,,,,,,,,,,,,,60020000,6,Chiapas,2,La Independencia
,,,,,,,,,,,,,,,,,,,60030000,6,Chiapas,3,Larr�áinzar
,,,,,,,,,,,,,,,,,,,60040000,6,Chiapas,4,Mapastepec
,,,,,,,,,,,,,,,,,,,60050000,6,Chiapas,5,Ocozocoautla de Espinosa
,,,,,,,,,,,,,,,,,,,60060000,6,Chiapas,6,Oxchuc
,,,,,,,,,,,,,,,,,,,60070000,6,Chiapas,7,Salto de Agua
,,,,,,,,,,,,,,,,,,,60080000,6,Chiapas,8,San Crist�óbal de las Casas
,,,,,,,,,,,,,,,,,,,60090000,6,Chiapas,9,Siltepec
,,,,,,,,,,,,,,,,,,,60100000,6,Chiapas,10,Socoltenango
,,,,,,,,,,,,,,,,,,,70010000,7,Chiapas,1,Tapachula
,,,,,,,,,,,,,,,,,,,70020000,7,Chiapas,2,Tenejapa
,,,,,,,,,,,,,,,,,,,70030000,7,Chiapas,3,Tila
,,,,,,,,,,,,,,,,,,,70040000,7,Chiapas,4,La Trinitaria
,,,,,,,,,,,,,,,,,,,70060000,7,Chiapas,6,Villaflores
,,,,,,,,,,,,,,,,,,,70090000,7,Chiapas,9,Aldama
,,,,,,,,,,,,,,,,,,,70130000,7,Chihuahua,13,Bach�íniva
,,,,,,,,,,,,,,,,,,,70170000,7,Chihuahua,17,Balleza
